input_token,big,brown,calico,cat,dog,lay,mat,on,red,rug,sat,small,tabby,the
big|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red,-0.3568,-0.3568,-0.3568,-0.3568,4.6388,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568
big|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,4.6388,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568
brown|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|cat,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,4.6388,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568
calico|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
