row,label,x,y
0,big|big,0,0
1,big|brown,0,0
2,big|calico,0,0
3,big|cat,0,0
4,big|dog,0,0
5,big|lay,0,0
6,big|mat,0,0
7,big|on,0,0
8,big|red,-0.3568,-0.3568
9,big|rug,0,0
10,big|sat,0,0
11,big|small,0,0
12,big|tabby,0,0
13,big|the,0,0
14,brown|big,0,0
15,brown|brown,0,0
16,brown|calico,0,0
17,brown|cat,0,0
18,brown|dog,-0.3568,-0.3568
19,brown|lay,0,0
20,brown|mat,0,0
21,brown|on,0,0
22,brown|red,0,0
23,brown|rug,0,0
24,brown|sat,0,0
25,brown|small,0,0
26,brown|tabby,0,0
27,brown|the,0,0
28,calico|big,0,0
29,calico|brown,0,0
30,calico|calico,0,0
31,calico|cat,-0.3568,-0.3568
32,calico|dog,0,0
33,calico|lay,0,0
34,calico|mat,0,0
35,calico|on,0,0
36,calico|red,0,0
37,calico|rug,0,0
38,calico|sat,0,0
39,calico|small,0,0
40,calico|tabby,0,0
41,calico|the,0,0
42,cat|big,0,0
43,cat|brown,0,0
44,cat|calico,0,0
45,cat|cat,0,0
46,cat|dog,0,0
47,cat|lay,-0.3568,-0.3568
48,cat|mat,0,0
49,cat|on,0,0
50,cat|red,0,0
51,cat|rug,0,0
52,cat|sat,-0.3568,-0.3568
53,cat|small,0,0
54,cat|tabby,0,0
55,cat|the,0,0
56,dog|big,0,0
57,dog|brown,0,0
58,dog|calico,0,0
59,dog|cat,0,0
60,dog|dog,0,0
61,dog|lay,-0.3568,-0.3568
62,dog|mat,0,0
63,dog|on,0,0
64,dog|red,0,0
65,dog|rug,0,0
66,dog|sat,-0.3568,-0.3568
67,dog|small,0,0
68,dog|tabby,0,0
69,dog|the,0,0
70,lay|big,0,0
71,lay|brown,0,0
72,lay|calico,0,0
73,lay|cat,0,0
74,lay|dog,0,0
75,lay|lay,0,0
76,lay|mat,0,0
77,lay|on,-0.4179,-0.4179
78,lay|red,0,0
79,lay|rug,0,0
80,lay|sat,0,0
81,lay|small,0,0
82,lay|tabby,0,0
83,lay|the,0,0
84,mat|big,0,0
85,mat|brown,0,0
86,mat|calico,0,0
87,mat|cat,0,0
88,mat|dog,0,0
89,mat|lay,0,0
90,mat|mat,0,0
91,mat|on,0,0
92,mat|red,0,0
93,mat|rug,0,0
94,mat|sat,0,0
95,mat|small,0,0
96,mat|tabby,0,0
97,mat|the,1.7541,-0.7749
98,on|big,0,0
99,on|brown,0,0
100,on|calico,0,0
101,on|cat,0,0
102,on|dog,0,0
103,on|lay,0,0
104,on|mat,0,0
105,on|on,0,0
106,on|red,0,0
107,on|rug,0,0
108,on|sat,0,0
109,on|small,0,0
110,on|tabby,0,0
111,on|the,-0.7421,-0.7421
112,red|big,0,0
113,red|brown,0,0
114,red|calico,0,0
115,red|cat,0,0
116,red|dog,-0.3568,-0.3568
117,red|lay,0,0
118,red|mat,0,0
119,red|on,0,0
120,red|red,0,0
121,red|rug,0,0
122,red|sat,0,0
123,red|small,0,0
124,red|tabby,0,0
125,red|the,0,0
126,rug|big,0,0
127,rug|brown,0,0
128,rug|calico,0,0
129,rug|cat,0,0
130,rug|dog,0,0
131,rug|lay,0,0
132,rug|mat,0,0
133,rug|on,0,0
134,rug|red,0,0
135,rug|rug,0,0
136,rug|sat,0,0
137,rug|small,0,0
138,rug|tabby,0,0
139,rug|the,2.4919,-0.8340
140,sat|big,0,0
141,sat|brown,0,0
142,sat|calico,0,0
143,sat|cat,0,0
144,sat|dog,0,0
145,sat|lay,0,0
146,sat|mat,0,0
147,sat|on,-0.4179,-0.4179
148,sat|red,0,0
149,sat|rug,0,0
150,sat|sat,0,0
151,sat|small,0,0
152,sat|tabby,0,0
153,sat|the,0,0
154,small|big,0,0
155,small|brown,-0.3568,-0.3568
156,small|calico,0,0
157,small|cat,0,0
158,small|dog,0,0
159,small|lay,0,0
160,small|mat,0,0
161,small|on,0,0
162,small|red,0,0
163,small|rug,0,0
164,small|sat,0,0
165,small|small,0,0
166,small|tabby,0,0
167,small|the,0,0
168,tabby|big,0,0
169,tabby|brown,0,0
170,tabby|calico,0,0
171,tabby|cat,-0.3568,-0.3568
172,tabby|dog,0,0
173,tabby|lay,0,0
174,tabby|mat,0,0
175,tabby|on,0,0
176,tabby|red,0,0
177,tabby|rug,0,0
178,tabby|sat,0,0
179,tabby|small,0,0
180,tabby|tabby,0,0
181,tabby|the,0,0
182,the|big,-0.3568,-0.3568
183,the|brown,0,0
184,the|calico,-0.3568,-0.3568
185,the|cat,0,0
186,the|dog,0,0
187,the|lay,0,0
188,the|mat,-0.4025,-0.4025
189,the|on,0,0
190,the|red,0,0
191,the|rug,-0.4179,-0.4179
192,the|sat,0,0
193,the|small,-0.3568,4.6388
194,the|tabby,-0.3568,-0.3568
195,the|the,0,0
